backbone,task,method,lo,hi,topk,n_layers,hi_layers,avg_bits_linear,W_GB,calib,scores
hubertL,ks,taq-is,3,4,0.25,24,1 2 4 5 7 23,3.25,0.1446,"train_pool(ks, 3600s, n=3600)","[0.692562, 0.701264, 0.700549, 0.689034, 0.716565, 0.743979, 0.684237, 0.71143, 0.668786, 0.608157, 0.626708, 0.594053, -0.59335, -0.714686, -0.915423, -0.8979, -0.950399, -0.526653, -0.793681, -0.603501, -0.365351, -0.794359, -1.794192, 0.812171]"
hubertL,ks,taq-kl,3,4,0.25,24,12 13 14 15 16 17,3.25,0.1446,"train_pool(ks, 3600s, n=3600)","[1.764571, 1.517405, 2.077605, 2.247963, 2.627256, 3.456541, 4.615131, 4.007045, 4.088863, 3.384927, 2.658939, 2.771244, 41.156737, 38.740806, 34.733657, 34.155277, 30.704941, 28.1215, 25.283991, 20.045851, 13.191999, 8.400244, 0.449982, 0.0]"
