backbone,task,lam,avg_bit,seq,metric,value,uni2,uni3,uni4,ceil_bits,bit_saved,interp_lin,interp_log,vs_ceil_%,vs_interp_%,vs_interp_log_%,trivial
hubert,er,0.001,3.9167,444444444443,ER_ERR,0.41659,0.680184331797235,0.46912442396313364,0.41013824884792627,4,0.083,0.415054,0.414757,-1.57,-0.37,-0.44,0
hubert,er,0.01,3.9167,444444444443,ER_ERR,0.41659,0.680184331797235,0.46912442396313364,0.41013824884792627,4,0.083,0.415054,0.414757,-1.57,-0.37,-0.44,0
hubert,er,0.02,3.9167,444444444443,ER_ERR,0.41659,0.680184331797235,0.46912442396313364,0.41013824884792627,4,0.083,0.415054,0.414757,-1.57,-0.37,-0.44,0
hubert,er,0.05,3.9167,444444444443,ER_ERR,0.41659,0.680184331797235,0.46912442396313364,0.41013824884792627,4,0.083,0.415054,0.414757,-1.57,-0.37,-0.44,0
hubert,er,0.1,3.9167,444444444443,ER_ERR,0.41659,0.680184331797235,0.46912442396313364,0.41013824884792627,4,0.083,0.415054,0.414757,-1.57,-0.37,-0.44,0
hubert,er,0.2,3.5833,344344434433,ER_ERR,0.423041,0.680184331797235,0.46912442396313364,0.41013824884792627,4,0.417,0.434716,0.433757,-3.15,2.69,2.47,0
hubert,er,0.3,3.4167,334444334432,ER_ERR,0.406452,0.680184331797235,0.46912442396313364,0.41013824884792627,4,0.583,0.444547,0.44358,0.9,8.57,8.37,0
hubert,er,0.5,2.9167,333233333432,ER_ERR,0.490323,0.680184331797235,0.46912442396313364,0.41013824884792627,3,0.083,0.486713,0.483875,-4.52,-0.74,-1.33,0
hubert,er,1.0,2.9167,333333332432,ER_ERR,0.470968,0.680184331797235,0.46912442396313364,0.41013824884792627,3,0.083,0.486713,0.483875,-0.39,3.23,2.67,0
hubert,er,5.0,2.1667,223232222222,ER_ERR,0.676498,0.680184331797235,0.46912442396313364,0.41013824884792627,3,0.833,0.645008,0.639347,-44.2,-4.88,-5.81,0
hubertL,er,0.001,3.9167,444443444434444444444444,ER_ERR,0.334562,0.6387096774193548,0.3797235023041475,0.3317972350230415,4,0.083,0.335791,0.335549,-0.83,0.37,0.29,0
hubertL,er,0.01,3.8333,444443444434444444444442,ER_ERR,0.333641,0.6387096774193548,0.3797235023041475,0.3317972350230415,4,0.167,0.339785,0.339343,-0.56,1.81,1.68,0
hubertL,er,0.02,3.8333,444443444434444444444442,ER_ERR,0.333641,0.6387096774193548,0.3797235023041475,0.3317972350230415,4,0.167,0.339785,0.339343,-0.56,1.81,1.68,0
hubertL,er,0.05,3.6667,434343444434444443443442,ER_ERR,0.359447,0.6387096774193548,0.3797235023041475,0.3317972350230415,4,0.333,0.347773,0.34706,-8.33,-3.36,-3.57,0
hubertL,er,0.1,3.625,434333444434444443443442,ER_ERR,0.358525,0.6387096774193548,0.3797235023041475,0.3317972350230415,4,0.375,0.34977,0.349016,-8.06,-2.5,-2.72,0
hubertL,er,0.2,3.3333,333333334434344443333442,ER_ERR,0.352995,0.6387096774193548,0.3797235023041475,0.3317972350230415,4,0.667,0.363748,0.363024,-6.39,2.96,2.76,0
hubertL,er,0.3,3.2917,333333334434344433333442,ER_ERR,0.37235,0.6387096774193548,0.3797235023041475,0.3317972350230415,4,0.708,0.365745,0.365071,-12.22,-1.81,-1.99,0
hubertL,er,0.5,2.8333,333322332432344233233422,ER_ERR,0.410138,0.6387096774193548,0.3797235023041475,0.3317972350230415,3,0.167,0.422888,0.414102,-8.01,3.01,0.96,0
hubertL,er,1.0,2.5,333232232332333232223222,ER_ERR,0.434101,0.6387096774193548,0.3797235023041475,0.3317972350230415,3,0.5,0.509217,0.492476,-14.32,14.75,11.85,0
hubertL,er,5.0,2.1667,333322222222222222222222,ER_ERR,0.448848,0.6387096774193548,0.3797235023041475,0.3317972350230415,3,0.833,0.595545,0.585685,-18.2,24.63,23.36,0
w2v2,er,0.001,4.0,444444444444,ER_ERR,0.466359,0.7105990783410139,0.4433179723502304,0.4663594470046083,4,0.0,0.466359,0.466359,0.0,0.0,0.0,1
w2v2,er,0.01,3.9167,444444443444,ER_ERR,0.467281,0.7105990783410139,0.4433179723502304,0.4663594470046083,4,0.083,0.464439,0.464394,-0.2,-0.61,-0.62,0
w2v2,er,0.02,3.9167,444444443444,ER_ERR,0.467281,0.7105990783410139,0.4433179723502304,0.4663594470046083,4,0.083,0.464439,0.464394,-0.2,-0.61,-0.62,0
w2v2,er,0.05,3.6667,444444443423,ER_ERR,0.475576,0.7105990783410139,0.4433179723502304,0.4663594470046083,4,0.333,0.458679,0.458549,-1.98,-3.68,-3.71,0
w2v2,er,0.1,3.5833,444444433423,ER_ERR,0.470046,0.7105990783410139,0.4433179723502304,0.4663594470046083,4,0.417,0.456759,0.456617,-0.79,-2.91,-2.94,0
w2v2,er,0.2,3.4167,444444333323,ER_ERR,0.471889,0.7105990783410139,0.4433179723502304,0.4663594470046083,4,0.583,0.452919,0.452777,-1.19,-4.19,-4.22,0
w2v2,er,0.3,3.25,434443333323,ER_ERR,0.447005,0.7105990783410139,0.4433179723502304,0.4663594470046083,4,0.75,0.449078,0.448969,4.15,0.46,0.44,0
w2v2,er,0.5,3.25,434443333323,ER_ERR,0.447005,0.7105990783410139,0.4433179723502304,0.4663594470046083,4,0.75,0.449078,0.448969,4.15,0.46,0.44,0
w2v2,er,1.0,2.8333,433442222323,ER_ERR,0.482949,0.7105990783410139,0.4433179723502304,0.4663594470046083,3,0.167,0.487865,0.479586,-8.94,1.01,-0.7,0
w2v2,er,5.0,2.3333,333222223222,ER_ERR,0.640553,0.7105990783410139,0.4433179723502304,0.4663594470046083,3,0.667,0.621505,0.607186,-44.49,-3.06,-5.5,0
wavlm,er,0.001,3.6667,444444434342,ER_ERR,0.387097,0.6691244239631337,0.4626728110599078,0.40921658986175113,4,0.333,0.427035,0.426311,5.41,9.35,9.2,0
wavlm,er,0.01,3.6667,444444434342,ER_ERR,0.387097,0.6691244239631337,0.4626728110599078,0.40921658986175113,4,0.333,0.427035,0.426311,5.41,9.35,9.2,0
wavlm,er,0.02,3.6667,444444434342,ER_ERR,0.387097,0.6691244239631337,0.4626728110599078,0.40921658986175113,4,0.333,0.427035,0.426311,5.41,9.35,9.2,0
wavlm,er,0.05,3.75,444444434442,ER_ERR,0.382488,0.6691244239631337,0.4626728110599078,0.40921658986175113,4,0.25,0.422581,0.421972,6.53,9.49,9.36,0
wavlm,er,0.1,3.6667,444444434342,ER_ERR,0.387097,0.6691244239631337,0.4626728110599078,0.40921658986175113,4,0.333,0.427035,0.426311,5.41,9.35,9.2,0
wavlm,er,0.2,3.6667,444444434342,ER_ERR,0.387097,0.6691244239631337,0.4626728110599078,0.40921658986175113,4,0.333,0.427035,0.426311,5.41,9.35,9.2,0
wavlm,er,0.3,3.6667,444444434342,ER_ERR,0.387097,0.6691244239631337,0.4626728110599078,0.40921658986175113,4,0.333,0.427035,0.426311,5.41,9.35,9.2,0
wavlm,er,0.5,3.5833,444444434332,ER_ERR,0.386175,0.6691244239631337,0.4626728110599078,0.40921658986175113,4,0.417,0.43149,0.430695,5.63,10.5,10.34,0
wavlm,er,1.0,2.8333,443332332232,ER_ERR,0.488479,0.6691244239631337,0.4626728110599078,0.40921658986175113,3,0.167,0.497081,0.492016,-5.58,1.73,0.72,0
