backbone,task,lam,avg_bit,seq,metric,value,uni2,uni3,uni4,ceil_bits,bit_saved,interp_lin,interp_log,vs_ceil_%,vs_interp_%,vs_interp_log_%,trivial
hubert,er,0.001,3.8333,444444444343,ER_ERR,0.407625,0.656891495601173,0.41055718475073316,0.42130987292277616,4,0.167,0.419518,0.419498,3.25,2.83,2.83,0
hubert,er,0.01,3.8333,444444444343,ER_ERR,0.407625,0.656891495601173,0.41055718475073316,0.42130987292277616,4,0.167,0.419518,0.419498,3.25,2.83,2.83,0
hubert,er,0.02,3.8333,444444444343,ER_ERR,0.407625,0.656891495601173,0.41055718475073316,0.42130987292277616,4,0.167,0.419518,0.419498,3.25,2.83,2.83,0
hubert,er,0.05,3.75,334444444443,ER_ERR,0.419355,0.656891495601173,0.41055718475073316,0.42130987292277616,4,0.25,0.418622,0.418596,0.46,-0.18,-0.18,0
hubert,er,0.1,3.5,334444434342,ER_ERR,0.40958,0.656891495601173,0.41055718475073316,0.42130987292277616,4,0.5,0.415934,0.415899,2.78,1.53,1.52,0
hubert,er,0.2,3.0,333434333322,ER_ERR,0.4565,0.656891495601173,0.41055718475073316,0.42130987292277616,3,0.0,0.410557,0.410557,-11.19,-11.19,-11.19,0
hubert,er,0.3,2.75,333333233322,ER_ERR,0.466276,0.656891495601173,0.41055718475073316,0.42130987292277616,3,0.25,0.472141,0.461747,-13.57,1.24,-0.98,0
hubert,er,0.5,2.75,333333233322,ER_ERR,0.466276,0.656891495601173,0.41055718475073316,0.42130987292277616,3,0.25,0.472141,0.461747,-13.57,1.24,-0.98,0
hubert,er,1.0,2.4167,332333222222,ER_ERR,0.525904,0.656891495601173,0.41055718475073316,0.42130987292277616,3,0.583,0.554252,0.540062,-28.1,5.11,2.62,0
hubert,er,5.0,2.0,222222222222,ER_ERR,0.656891,0.656891495601173,0.41055718475073316,0.42130987292277616,2,0.0,0.656891,0.656891,0.0,0.0,0.0,1
hubertL,er,0.001,3.7917,444444433443444444444442,ER_ERR,0.365591,0.5845552297165201,0.37438905180840665,0.364613880742913,4,0.208,0.36665,0.366629,-0.27,0.29,0.28,0
