backbone,task,method,lo,hi,topk,n_layers,hi_layers,avg_bits_linear,W_GB,calib,scores
w2v2,er,taq-is,3,4,0.25,12,0 1 6,3.25,0.0512,"train_pool(er/fold4, 3600s, n=600)","[0.526143, 0.378327, 0.067621, -0.246113, -0.024713, 0.364217, 0.419939, 0.23418, -0.265718, -0.242326, 0.168595, -1.380152]"
w2v2,er,taq-kl,3,4,0.25,12,0 2 3,3.25,0.0512,"train_pool(er/fold4, 3600s, n=600)","[0.126159, 0.09415, 0.122061, 0.136799, 0.060723, 0.031078, 0.023339, 0.03082, 0.025302, 0.004038, 0.01247, 0.000449]"
wavlm,er,taq-is,3,4,0.25,12,3 4 5,3.25,0.05121,"train_pool(er/fold4, 3600s, n=600)","[-0.449684, -0.229309, 0.511206, 0.576569, 0.600111, 0.722102, 0.553964, 0.399614, 0.109719, -0.370667, 0.077462, -2.501088]"
wavlm,er,taq-kl,3,4,0.25,12,0 1 2,3.25,0.05121,"train_pool(er/fold4, 3600s, n=600)","[0.084493, 0.047887, 0.081186, 0.027901, 0.021237, 0.016064, 0.017216, 0.025462, 0.020662, 0.009946, 0.001735, 0.001287]"
hubert,er,taq-is,3,4,0.25,12,6 7 8,3.25,0.0512,"train_pool(er/fold4, 3600s, n=600)","[0.377002, 0.310466, 0.12225, -0.184962, 0.025493, 0.185579, 0.595426, 0.83966, 0.623232, -0.114449, 0.058281, -2.837978]"
hubert,er,taq-kl,3,4,0.25,12,0 3 4,3.25,0.0512,"train_pool(er/fold4, 3600s, n=600)","[0.060997, 0.046018, 0.039029, 0.049486, 0.047849, 0.037374, 0.034922, 0.032961, 0.016941, 0.032415, 0.005747, 0.002149]"
wavlmL,er,taq-is,3,4,0.25,24,8 11 17 18 19 23,3.25,0.1446,"train_pool(er/fold4, 3600s, n=600)","[-1.32172, -0.837972, -0.227428, -0.142601, -0.086863, 0.055514, 0.158811, 0.251156, 0.302389, 0.149583, 0.227928, 0.306728, 0.160813, 0.061208, -0.003783, 0.133085, 0.288197, 0.300433, 0.388232, 0.619091, 0.220684, -0.357409, -1.559753, 0.913678]"
wavlmL,er,taq-kl,3,4,0.25,24,13 14 15 16 17 18,3.25,0.1446,"train_pool(er/fold4, 3600s, n=600)","[0.782076, 0.601233, 0.350487, 0.259921, 0.179235, 0.124312, 0.197099, 0.324916, 0.416944, 0.501587, 0.425969, 0.392635, 0.872642, 2.494158, 2.221102, 2.513065, 2.440515, 2.082681, 1.755968, 0.752274, 0.395333, 0.071133, 0.004202, 0.0]"
hubertL,er,taq-is,3,4,0.25,24,10 11 13 17 18 23,3.25,0.1446,"train_pool(er/fold4, 3600s, n=600)","[-0.922221, -0.645167, -0.449084, -0.329572, -0.190753, -0.175261, 0.027693, 0.207123, 0.221193, 0.21306, 0.38551, 0.519137, -0.232567, 0.340601, 0.002441, 0.298435, 0.123502, 0.39238, 0.447747, 0.261279, 0.328894, -0.40581, -1.322618, 0.904058]"
hubertL,er,taq-kl,3,4,0.25,24,12 13 14 15 16 18,3.25,0.1446,"train_pool(er/fold4, 3600s, n=600)","[3.639554, 2.69122, 2.796346, 2.272735, 2.207229, 2.173572, 2.280711, 2.653488, 2.670505, 2.711719, 3.387058, 3.987915, 22.11547, 22.03782, 22.702644, 21.595274, 22.205611, 19.571938, 22.489242, 18.13091, 11.328193, 3.72146, 0.11587, 0.0]"
