backbone,task,method,lo,hi,topk,n_layers,hi_layers,avg_bits_linear,W_GB,calib,scores
w2v2,er,taq-is,3,4,0.25,12,0 1 5,3.25,0.0512,"train_pool(er/fold1, 3600s, n=600)","[0.65623, 0.451079, -0.037089, -0.141915, 0.069955, 0.384368, 0.354863, 0.056183, -0.307166, -0.171679, 0.165147, -1.479976]"
w2v2,er,taq-kl,3,4,0.25,12,1 2 3,3.25,0.0512,"train_pool(er/fold1, 3600s, n=600)","[0.124714, 0.127567, 0.171477, 0.1833, 0.070487, 0.054196, 0.039726, 0.03793, 0.025087, 0.004863, 0.012861, 0.000914]"
wavlm,er,taq-is,3,4,0.25,12,3 4 5,3.25,0.05121,"train_pool(er/fold1, 3600s, n=600)","[-0.393152, -0.244109, 0.147001, 0.584118, 0.728003, 0.874329, 0.336312, 0.208349, 0.037489, -0.278624, 0.448615, -2.448329]"
wavlm,er,taq-kl,3,4,0.25,12,0 1 2,3.25,0.05121,"train_pool(er/fold1, 3600s, n=600)","[0.1616, 0.081773, 0.13143, 0.057729, 0.068483, 0.035892, 0.039021, 0.050655, 0.059495, 0.040735, 0.008315, 0.005042]"
hubert,er,taq-is,3,4,0.25,12,0 5 7,3.25,0.0512,"train_pool(er/fold1, 3600s, n=600)","[0.571457, 0.271674, -0.238013, -0.113259, 0.083437, 0.46877, 0.429373, 0.593608, 0.446605, 0.01756, 0.40113, -2.932342]"
hubert,er,taq-kl,3,4,0.25,12,0 2 4,3.25,0.0512,"train_pool(er/fold1, 3600s, n=600)","[0.086242, 0.078041, 0.103551, 0.074052, 0.086264, 0.064005, 0.064548, 0.057534, 0.043398, 0.053033, 0.007277, 0.00646]"
wavlmL,er,taq-is,3,4,0.25,24,10 16 17 18 19 23,3.25,0.1446,"train_pool(er/fold1, 3600s, n=600)","[-1.181458, -0.919435, -0.374086, -0.074186, -0.103453, 0.150564, -0.008989, 0.18931, 0.095247, 0.098661, 0.396617, 0.214952, 0.293942, 0.13467, 0.167541, -0.00465, 0.327447, 0.369052, 0.378727, 0.353116, 0.299556, -0.247774, -1.529421, 0.974051]"
wavlmL,er,taq-kl,3,4,0.25,24,0 12 13 14 16 17,3.25,0.1446,"train_pool(er/fold1, 3600s, n=600)","[1.814626, 1.206823, 0.562594, 0.388728, 0.209872, 0.173144, 0.399115, 0.623618, 0.637671, 0.732693, 0.568499, 0.633452, 1.373541, 2.069856, 1.258389, 1.121753, 1.295444, 1.329118, 1.004385, 0.45258, 0.293711, 0.047034, 0.005051, 0.0]"
hubertL,er,taq-is,3,4,0.25,24,10 11 12 16 18 23,3.25,0.1446,"train_pool(er/fold1, 3600s, n=600)","[-0.720044, -0.653624, -0.472807, -0.201445, -0.128578, 0.012632, -0.02906, 0.173006, 0.145274, 0.267979, 0.550483, 0.455178, 0.508175, -0.091994, -0.458691, -0.254087, 0.396278, 0.161285, 0.423472, 0.19105, 0.343129, -0.371308, -1.284424, 1.038122]"
hubertL,er,taq-kl,3,4,0.25,24,12 13 14 15 16 18,3.25,0.1446,"train_pool(er/fold1, 3600s, n=600)","[1.08946, 1.062144, 1.208742, 1.120341, 1.184, 1.530009, 2.03946, 2.402585, 2.701087, 3.126248, 3.296773, 3.062897, 7.479559, 6.736913, 6.768505, 6.47252, 5.742214, 4.818923, 5.223871, 3.720931, 2.676143, 0.580944, 0.021553, 0.0]"
