backbone,task,lam,avg_bit,seq,metric,value,uni2,uni3,uni4,ceil_bits,bit_saved,interp_lin,interp_log,vs_ceil_%,vs_interp_%,vs_interp_log_%,trivial
hubert,er,0.001,4.0,444444444444,ER_ERR,0.359845,0.6896217264791464,0.3763336566440349,0.35984481086323955,4,0.0,0.359845,0.359845,0.0,0.0,0.0,1
hubert,er,0.01,4.0,444444444444,ER_ERR,0.359845,0.6896217264791464,0.3763336566440349,0.35984481086323955,4,0.0,0.359845,0.359845,0.0,0.0,0.0,1
hubert,er,0.02,3.75,444444443433,ER_ERR,0.364694,0.6896217264791464,0.3763336566440349,0.35984481086323955,4,0.25,0.363967,0.363898,-1.35,-0.2,-0.22,0
hubert,er,0.05,3.5833,344444443432,ER_ERR,0.379243,0.6896217264791464,0.3763336566440349,0.35984481086323955,4,0.417,0.366715,0.366625,-5.39,-3.42,-3.44,0
hubert,er,0.1,3.0833,343333433332,ER_ERR,0.382153,0.6896217264791464,0.3763336566440349,0.35984481086323955,4,0.917,0.37496,0.374931,-6.2,-1.92,-1.93,0
hubert,er,0.2,3.0,333333433332,ER_ERR,0.377304,0.6896217264791464,0.3763336566440349,0.35984481086323955,3,0.0,0.376334,0.376334,-0.26,-0.26,-0.26,0
hubert,er,0.3,2.9167,333333333332,ER_ERR,0.381183,0.6896217264791464,0.3763336566440349,0.35984481086323955,3,0.083,0.402441,0.395816,-1.29,5.28,3.7,0
hubert,er,0.5,2.9167,333333333332,ER_ERR,0.381183,0.6896217264791464,0.3763336566440349,0.35984481086323955,3,0.083,0.402441,0.395816,-1.29,5.28,3.7,0
hubert,er,1.0,2.5833,333332322232,ER_ERR,0.408341,0.6896217264791464,0.3763336566440349,0.35984481086323955,3,0.417,0.50687,0.484364,-8.51,19.44,15.7,0
hubert,er,5.0,2.0833,322222222222,ER_ERR,0.653734,0.6896217264791464,0.3763336566440349,0.35984481086323955,3,0.917,0.663514,0.655679,-73.71,1.47,0.3,0
hubertL,er,0.001,3.875,444443443444444344444444,ER_ERR,0.376334,0.539282250242483,0.35984481086323955,0.3734238603297769,4,0.125,0.371726,0.371699,-0.78,-1.24,-1.25,0
hubertL,er,0.01,3.7917,444443443444444344444442,ER_ERR,0.378274,0.539282250242483,0.35984481086323955,0.3734238603297769,4,0.208,0.370595,0.370553,-1.3,-2.07,-2.08,0
hubertL,er,0.02,3.7917,444443443444444344444442,ER_ERR,0.378274,0.539282250242483,0.35984481086323955,0.3734238603297769,4,0.208,0.370595,0.370553,-1.3,-2.07,-2.08,0
hubertL,er,0.05,3.7917,444443443444444344444442,ER_ERR,0.378274,0.539282250242483,0.35984481086323955,0.3734238603297769,4,0.208,0.370595,0.370553,-1.3,-2.07,-2.08,0
hubertL,er,0.1,3.7917,444443443444444344444442,ER_ERR,0.378274,0.539282250242483,0.35984481086323955,0.3734238603297769,4,0.208,0.370595,0.370553,-1.3,-2.07,-2.08,0
hubertL,er,0.2,3.5417,443343343444444344343342,ER_ERR,0.366634,0.539282250242483,0.35984481086323955,0.3734238603297769,4,0.458,0.3672,0.367138,1.82,0.15,0.14,0
hubertL,er,0.3,3.3333,343343333333443344343442,ER_ERR,0.366634,0.539282250242483,0.35984481086323955,0.3734238603297769,4,0.667,0.364371,0.364315,1.82,-0.62,-0.64,0
hubertL,er,0.5,3.0833,333333323333444333333342,ER_ERR,0.364694,0.539282250242483,0.35984481086323955,0.3734238603297769,4,0.917,0.360976,0.360957,2.34,-1.03,-1.04,0
hubertL,er,1.0,2.875,333323323333333333333332,ER_ERR,0.357905,0.539282250242483,0.35984481086323955,0.3734238603297769,3,0.125,0.382274,0.37851,0.54,6.37,5.44,0
hubertL,er,5.0,2.3333,332322222332222332322222,ER_ERR,0.4258,0.539282250242483,0.35984481086323955,0.3734238603297769,3,0.667,0.47947,0.471248,-18.33,11.19,9.64,0
w2v2,er,0.001,4.0,444444444444,ER_ERR,0.392823,0.6644034917555771,0.3976721629485936,0.39282250242483024,4,0.0,0.392823,0.392823,0.0,0.0,0.0,1
w2v2,er,0.01,3.9167,444444444443,ER_ERR,0.396702,0.6644034917555771,0.3976721629485936,0.39282250242483024,4,0.083,0.393227,0.393224,-0.99,-0.88,-0.88,0
