backbone,task,layer,bits,fold,metric,fp32,value,delta,quant_dir,sec
hubert,ic,11,2,0,IC_ERR,0.029792,0.035592,0.0058,quants_1024/GPTQ/quants_tc1024_ic,32
hubert,er,0,2,1,ER_ERR,0.40553,0.411982,0.006452,quants_1024/GPTQ/quants_tc1024_er_fold1,9
hubert,er,1,2,1,ER_ERR,0.40553,0.426728,0.021198,quants_1024/GPTQ/quants_tc1024_er_fold1,9
hubert,er,2,2,1,ER_ERR,0.40553,0.407373,0.001843,quants_1024/GPTQ/quants_tc1024_er_fold1,9
hubert,er,3,2,1,ER_ERR,0.40553,0.41659,0.01106,quants_1024/GPTQ/quants_tc1024_er_fold1,9
hubert,er,4,2,1,ER_ERR,0.40553,0.407373,0.001843,quants_1024/GPTQ/quants_tc1024_er_fold1,9
hubert,er,5,2,1,ER_ERR,0.40553,0.40553,0.0,quants_1024/GPTQ/quants_tc1024_er_fold1,9
hubert,er,6,2,1,ER_ERR,0.40553,0.43318,0.02765,quants_1024/GPTQ/quants_tc1024_er_fold1,9
hubert,er,7,2,1,ER_ERR,0.40553,0.415668,0.010138,quants_1024/GPTQ/quants_tc1024_er_fold1,9
hubert,er,8,2,1,ER_ERR,0.40553,0.413825,0.008295,quants_1024/GPTQ/quants_tc1024_er_fold1,9
hubert,er,9,2,1,ER_ERR,0.40553,0.430415,0.024885,quants_1024/GPTQ/quants_tc1024_er_fold1,9
hubert,er,10,2,1,ER_ERR,0.40553,0.429493,0.023963,quants_1024/GPTQ/quants_tc1024_er_fold1,9
hubert,er,11,2,1,ER_ERR,0.40553,0.4,-0.00553,quants_1024/GPTQ/quants_tc1024_er_fold1,9
hubert,er,0,2,2,ER_ERR,0.398827,0.423265,0.024438,quants_1024/GPTQ/quants_tc1024_er_fold2,8
hubert,er,1,2,2,ER_ERR,0.398827,0.410557,0.01173,quants_1024/GPTQ/quants_tc1024_er_fold2,9
hubert,er,2,2,2,ER_ERR,0.398827,0.400782,0.001955,quants_1024/GPTQ/quants_tc1024_er_fold2,8
hubert,er,3,2,2,ER_ERR,0.398827,0.387097,-0.01173,quants_1024/GPTQ/quants_tc1024_er_fold2,8
hubert,er,4,2,2,ER_ERR,0.398827,0.415445,0.016618,quants_1024/GPTQ/quants_tc1024_er_fold2,8
hubert,er,5,2,2,ER_ERR,0.398827,0.423265,0.024438,quants_1024/GPTQ/quants_tc1024_er_fold2,8
hubert,er,6,2,2,ER_ERR,0.398827,0.406647,0.00782,quants_1024/GPTQ/quants_tc1024_er_fold2,8
hubert,er,7,2,2,ER_ERR,0.398827,0.42522,0.026393,quants_1024/GPTQ/quants_tc1024_er_fold2,8
hubert,er,8,2,2,ER_ERR,0.398827,0.416422,0.017595,quants_1024/GPTQ/quants_tc1024_er_fold2,9
hubert,er,9,2,2,ER_ERR,0.398827,0.424242,0.025415,quants_1024/GPTQ/quants_tc1024_er_fold2,8
hubert,er,10,2,2,ER_ERR,0.398827,0.438905,0.040078,quants_1024/GPTQ/quants_tc1024_er_fold2,8
hubert,er,11,2,2,ER_ERR,0.398827,0.400782,0.001955,quants_1024/GPTQ/quants_tc1024_er_fold2,8
hubert,er,0,2,3,ER_ERR,0.397046,0.400521,0.003475,quants_1024/GPTQ/quants_tc1024_er_fold3,10
hubert,er,1,2,3,ER_ERR,0.397046,0.39444,-0.002606,quants_1024/GPTQ/quants_tc1024_er_fold3,10
hubert,er,2,2,3,ER_ERR,0.397046,0.418766,0.02172,quants_1024/GPTQ/quants_tc1024_er_fold3,9
hubert,er,3,2,3,ER_ERR,0.397046,0.410947,0.013901,quants_1024/GPTQ/quants_tc1024_er_fold3,9
hubert,er,4,2,3,ER_ERR,0.397046,0.411816,0.01477,quants_1024/GPTQ/quants_tc1024_er_fold3,9
hubert,er,5,2,3,ER_ERR,0.397046,0.397046,0.0,quants_1024/GPTQ/quants_tc1024_er_fold3,9
hubert,er,6,2,3,ER_ERR,0.397046,0.387489,-0.009557,quants_1024/GPTQ/quants_tc1024_er_fold3,9
hubert,er,7,2,3,ER_ERR,0.397046,0.390096,-0.00695,quants_1024/GPTQ/quants_tc1024_er_fold3,9
hubert,er,8,2,3,ER_ERR,0.397046,0.387489,-0.009557,quants_1024/GPTQ/quants_tc1024_er_fold3,10
hubert,er,9,2,3,ER_ERR,0.397046,0.407472,0.010426,quants_1024/GPTQ/quants_tc1024_er_fold3,10
hubert,er,10,2,3,ER_ERR,0.397046,0.40139,0.004344,quants_1024/GPTQ/quants_tc1024_er_fold3,9
hubert,er,11,2,3,ER_ERR,0.397046,0.395308,-0.001738,quants_1024/GPTQ/quants_tc1024_er_fold3,9
hubert,er,0,2,4,ER_ERR,0.368574,0.359845,-0.008729,quants_1024/GPTQ/quants_tc1024_er_fold4,8
hubert,er,1,2,4,ER_ERR,0.368574,0.369544,0.00097,quants_1024/GPTQ/quants_tc1024_er_fold4,8
hubert,er,2,2,4,ER_ERR,0.368574,0.362755,-0.00582,quants_1024/GPTQ/quants_tc1024_er_fold4,9
hubert,er,3,2,4,ER_ERR,0.368574,0.369544,0.00097,quants_1024/GPTQ/quants_tc1024_er_fold4,8
hubert,er,4,2,4,ER_ERR,0.368574,0.384093,0.015519,quants_1024/GPTQ/quants_tc1024_er_fold4,8
hubert,er,5,2,4,ER_ERR,0.368574,0.376334,0.007759,quants_1024/GPTQ/quants_tc1024_er_fold4,8
hubert,er,6,2,4,ER_ERR,0.368574,0.361785,-0.00679,quants_1024/GPTQ/quants_tc1024_er_fold4,8
hubert,er,7,2,4,ER_ERR,0.368574,0.375364,0.00679,quants_1024/GPTQ/quants_tc1024_er_fold4,8
hubert,er,8,2,4,ER_ERR,0.368574,0.381183,0.012609,quants_1024/GPTQ/quants_tc1024_er_fold4,9
hubert,er,9,2,4,ER_ERR,0.368574,0.371484,0.00291,quants_1024/GPTQ/quants_tc1024_er_fold4,8
hubert,er,10,2,4,ER_ERR,0.368574,0.382153,0.013579,quants_1024/GPTQ/quants_tc1024_er_fold4,8
hubert,er,11,2,4,ER_ERR,0.368574,0.372454,0.00388,quants_1024/GPTQ/quants_tc1024_er_fold4,8
hubert,er,0,2,5,ER_ERR,0.385173,0.388396,0.003223,quants_1024/GPTQ/quants_tc1024_er_fold5,10
hubert,er,1,2,5,ER_ERR,0.385173,0.392425,0.007252,quants_1024/GPTQ/quants_tc1024_er_fold5,10
hubert,er,2,2,5,ER_ERR,0.385173,0.39726,0.012087,quants_1024/GPTQ/quants_tc1024_er_fold5,10
hubert,er,3,2,5,ER_ERR,0.385173,0.390008,0.004835,quants_1024/GPTQ/quants_tc1024_er_fold5,10
hubert,er,4,2,5,ER_ERR,0.385173,0.414988,0.029815,quants_1024/GPTQ/quants_tc1024_er_fold5,10
hubert,er,5,2,5,ER_ERR,0.385173,0.407736,0.022562,quants_1024/GPTQ/quants_tc1024_er_fold5,10
hubert,er,6,2,5,ER_ERR,0.385173,0.387591,0.002417,quants_1024/GPTQ/quants_tc1024_er_fold5,10
hubert,er,7,2,5,ER_ERR,0.385173,0.402901,0.017728,quants_1024/GPTQ/quants_tc1024_er_fold5,10
hubert,er,8,2,5,ER_ERR,0.385173,0.393231,0.008058,quants_1024/GPTQ/quants_tc1024_er_fold5,10
hubert,er,9,2,5,ER_ERR,0.385173,0.396454,0.011281,quants_1024/GPTQ/quants_tc1024_er_fold5,10
hubert,er,10,2,5,ER_ERR,0.385173,0.390008,0.004835,quants_1024/GPTQ/quants_tc1024_er_fold5,10
hubert,er,11,2,5,ER_ERR,0.385173,0.395649,0.010475,quants_1024/GPTQ/quants_tc1024_er_fold5,10
hubert,asv,0,2,0,EER,0.067603,0.071527,0.003924,quants_1024/GPTQ/quants_tc1024_asv,67
hubert,asv,1,2,0,EER,0.067603,0.069194,0.001591,quants_1024/GPTQ/quants_tc1024_asv,67
hubert,asv,2,2,0,EER,0.067603,0.0728,0.005196,quants_1024/GPTQ/quants_tc1024_asv,67
hubert,asv,3,2,0,EER,0.067603,0.072587,0.004984,quants_1024/GPTQ/quants_tc1024_asv,67
hubert,asv,4,2,0,EER,0.067603,0.070838,0.003234,quants_1024/GPTQ/quants_tc1024_asv,67
hubert,asv,5,2,0,EER,0.067603,0.070414,0.00281,quants_1024/GPTQ/quants_tc1024_asv,67
hubert,asv,6,2,0,EER,0.067603,0.070838,0.003234,quants_1024/GPTQ/quants_tc1024_asv,67
hubert,asv,7,2,0,EER,0.067603,0.069671,0.002068,quants_1024/GPTQ/quants_tc1024_asv,68
hubert,asv,8,2,0,EER,0.067603,0.067338,-0.000265,quants_1024/GPTQ/quants_tc1024_asv,67
hubert,asv,9,2,0,EER,0.067603,0.067709,0.000106,quants_1024/GPTQ/quants_tc1024_asv,67
hubert,asv,10,2,0,EER,0.067603,0.06824,0.000636,quants_1024/GPTQ/quants_tc1024_asv,67
hubert,asv,11,2,0,EER,0.067603,0.067338,-0.000265,quants_1024/GPTQ/quants_tc1024_asv,68
