backbone,task,layer,bits,fold,metric,fp32,value,delta,quant_dir,sec
hubertL,ks,0,2,0,KS_ERR,0.064589,0.065888,0.001298,quants_1024/GPTQ/quants_tc1024_ks,40
hubertL,ks,1,2,0,KS_ERR,0.064589,0.065239,0.000649,quants_1024/GPTQ/quants_tc1024_ks,40
hubertL,ks,2,2,0,KS_ERR,0.064589,0.06394,-0.000649,quants_1024/GPTQ/quants_tc1024_ks,39
hubertL,ks,3,2,0,KS_ERR,0.064589,0.066212,0.001623,quants_1024/GPTQ/quants_tc1024_ks,39
hubertL,ks,4,2,0,KS_ERR,0.064589,0.064914,0.000325,quants_1024/GPTQ/quants_tc1024_ks,39
hubertL,ks,5,2,0,KS_ERR,0.064589,0.065888,0.001298,quants_1024/GPTQ/quants_tc1024_ks,39
hubertL,ks,6,2,0,KS_ERR,0.064589,0.064589,0.0,quants_1024/GPTQ/quants_tc1024_ks,39
hubertL,ks,7,2,0,KS_ERR,0.064589,0.066537,0.001947,quants_1024/GPTQ/quants_tc1024_ks,39
hubertL,ks,8,2,0,KS_ERR,0.064589,0.065563,0.000974,quants_1024/GPTQ/quants_tc1024_ks,38
hubertL,ks,9,2,0,KS_ERR,0.064589,0.066537,0.001947,quants_1024/GPTQ/quants_tc1024_ks,38
hubertL,ks,10,2,0,KS_ERR,0.064589,0.065239,0.000649,quants_1024/GPTQ/quants_tc1024_ks,39
hubertL,ks,11,2,0,KS_ERR,0.064589,0.066212,0.001623,quants_1024/GPTQ/quants_tc1024_ks,39
hubertL,ks,12,2,0,KS_ERR,0.064589,0.06394,-0.000649,quants_1024/GPTQ/quants_tc1024_ks,39
hubertL,ks,13,2,0,KS_ERR,0.064589,0.065239,0.000649,quants_1024/GPTQ/quants_tc1024_ks,40
hubertL,ks,14,2,0,KS_ERR,0.064589,0.067511,0.002921,quants_1024/GPTQ/quants_tc1024_ks,39
hubertL,ks,15,2,0,KS_ERR,0.064589,0.069133,0.004544,quants_1024/GPTQ/quants_tc1024_ks,39
hubertL,ks,16,2,0,KS_ERR,0.064589,0.066212,0.001623,quants_1024/GPTQ/quants_tc1024_ks,39
hubertL,ks,17,2,0,KS_ERR,0.064589,0.065888,0.001298,quants_1024/GPTQ/quants_tc1024_ks,40
hubertL,ks,18,2,0,KS_ERR,0.064589,0.067511,0.002921,quants_1024/GPTQ/quants_tc1024_ks,39
