backbone,task,layer,bits,fold,metric,fp32,value,delta,quant_dir,sec
wavlmL,asr,23,2,0,WER,0.06741,0.067431,2.1e-05,quants_1024/GPTQ/quants_tc1024_asr,106
wavlmL,ks,0,2,0,KS_ERR,0.026615,0.025966,-0.000649,quants_1024/GPTQ/quants_tc1024_ks,66
wavlmL,ks,1,2,0,KS_ERR,0.026615,0.028887,0.002272,quants_1024/GPTQ/quants_tc1024_ks,65
wavlmL,ks,2,2,0,KS_ERR,0.026615,0.027913,0.001298,quants_1024/GPTQ/quants_tc1024_ks,66
wavlmL,ks,3,2,0,KS_ERR,0.026615,0.026939,0.000325,quants_1024/GPTQ/quants_tc1024_ks,66
wavlmL,ks,4,2,0,KS_ERR,0.026615,0.027264,0.000649,quants_1024/GPTQ/quants_tc1024_ks,65
wavlmL,ks,5,2,0,KS_ERR,0.026615,0.026939,0.000325,quants_1024/GPTQ/quants_tc1024_ks,65
wavlmL,ks,6,2,0,KS_ERR,0.026615,0.026939,0.000325,quants_1024/GPTQ/quants_tc1024_ks,65
wavlmL,ks,7,2,0,KS_ERR,0.026615,0.029211,0.002597,quants_1024/GPTQ/quants_tc1024_ks,65
wavlmL,ks,8,2,0,KS_ERR,0.026615,0.028887,0.002272,quants_1024/GPTQ/quants_tc1024_ks,67
wavlmL,ks,9,2,0,KS_ERR,0.026615,0.027588,0.000974,quants_1024/GPTQ/quants_tc1024_ks,65
wavlmL,ks,10,2,0,KS_ERR,0.026615,0.02629,-0.000325,quants_1024/GPTQ/quants_tc1024_ks,65
wavlmL,ks,11,2,0,KS_ERR,0.026615,0.028238,0.001623,quants_1024/GPTQ/quants_tc1024_ks,67
wavlmL,ks,12,2,0,KS_ERR,0.026615,0.025966,-0.000649,quants_1024/GPTQ/quants_tc1024_ks,66
wavlmL,ks,13,2,0,KS_ERR,0.026615,0.02629,-0.000325,quants_1024/GPTQ/quants_tc1024_ks,66
wavlmL,ks,14,2,0,KS_ERR,0.026615,0.026615,0.0,quants_1024/GPTQ/quants_tc1024_ks,66
wavlmL,ks,15,2,0,KS_ERR,0.026615,0.02629,-0.000325,quants_1024/GPTQ/quants_tc1024_ks,66
wavlmL,ks,16,2,0,KS_ERR,0.026615,0.02629,-0.000325,quants_1024/GPTQ/quants_tc1024_ks,67
wavlmL,ks,17,2,0,KS_ERR,0.026615,0.026615,0.0,quants_1024/GPTQ/quants_tc1024_ks,67
wavlmL,ks,18,2,0,KS_ERR,0.026615,0.026939,0.000325,quants_1024/GPTQ/quants_tc1024_ks,67
wavlmL,ks,19,2,0,KS_ERR,0.026615,0.029211,0.002597,quants_1024/GPTQ/quants_tc1024_ks,66
wavlmL,ks,20,2,0,KS_ERR,0.026615,0.027264,0.000649,quants_1024/GPTQ/quants_tc1024_ks,67
wavlmL,ks,21,2,0,KS_ERR,0.026615,0.025966,-0.000649,quants_1024/GPTQ/quants_tc1024_ks,67
wavlmL,ks,22,2,0,KS_ERR,0.026615,0.028238,0.001623,quants_1024/GPTQ/quants_tc1024_ks,67
