backbone,task,lam,avg_bit,seq,metric,value,uni2,uni3,uni4,ceil_bits,bit_saved,interp_lin,interp_log,vs_ceil_%,vs_interp_%,vs_interp_log_%,trivial
hubert,er,0.001,3.9167,443444444444,ER_ERR,0.409217,0.695852534562212,0.4184331797235023,0.4073732718894009,4,0.083,0.408295,0.408284,-0.45,-0.23,-0.23,0
hubert,er,0.01,3.9167,443444444444,ER_ERR,0.409217,0.695852534562212,0.4184331797235023,0.4073732718894009,4,0.083,0.408295,0.408284,-0.45,-0.23,-0.23,0
hubert,er,0.02,3.9167,443444444444,ER_ERR,0.409217,0.695852534562212,0.4184331797235023,0.4073732718894009,4,0.083,0.408295,0.408284,-0.45,-0.23,-0.23,0
hubert,er,0.05,3.9167,443444444444,ER_ERR,0.409217,0.695852534562212,0.4184331797235023,0.4073732718894009,4,0.083,0.408295,0.408284,-0.45,-0.23,-0.23,0
hubert,er,0.1,3.5,433344434433,ER_ERR,0.406452,0.695852534562212,0.4184331797235023,0.4073732718894009,4,0.5,0.412903,0.412866,0.23,1.56,1.55,0
hubert,er,0.2,3.25,333333434433,ER_ERR,0.426728,0.695852534562212,0.4184331797235023,0.4073732718894009,4,0.75,0.415668,0.41564,-4.75,-2.66,-2.67,0
hubert,er,0.3,3.25,333333434433,ER_ERR,0.426728,0.695852534562212,0.4184331797235023,0.4073732718894009,4,0.75,0.415668,0.41564,-4.75,-2.66,-2.67,0
hubert,er,0.5,2.75,323333333322,ER_ERR,0.43871,0.695852534562212,0.4184331797235023,0.4073732718894009,3,0.25,0.487788,0.47517,-4.85,10.06,7.67,0
hubert,er,1.0,2.75,323333333322,ER_ERR,0.43871,0.695852534562212,0.4184331797235023,0.4073732718894009,3,0.25,0.487788,0.47517,-4.85,10.06,7.67,0
hubert,er,5.0,2.3333,223233232222,ER_ERR,0.529954,0.695852534562212,0.4184331797235023,0.4073732718894009,3,0.667,0.603379,0.587336,-26.65,12.17,9.77,0
hubertL,er,0.001,3.8333,443444444444444444444342,ER_ERR,0.338249,0.40276497695852537,0.34654377880184334,0.3317972350230415,4,0.167,0.334255,0.334211,-1.94,-1.19,-1.21,0
hubertL,er,0.01,3.8333,443444444444444444444342,ER_ERR,0.338249,0.40276497695852537,0.34654377880184334,0.3317972350230415,4,0.167,0.334255,0.334211,-1.94,-1.19,-1.21,0
hubertL,er,0.02,3.8333,443444444444444444444342,ER_ERR,0.338249,0.40276497695852537,0.34654377880184334,0.3317972350230415,4,0.167,0.334255,0.334211,-1.94,-1.19,-1.21,0
hubertL,er,0.05,3.5,343333434444444343344342,ER_ERR,0.333641,0.40276497695852537,0.34654377880184334,0.3317972350230415,4,0.5,0.339171,0.33909,-0.56,1.63,1.61,0
hubertL,er,0.1,3.2083,343333334333343343343342,ER_ERR,0.334562,0.40276497695852537,0.34654377880184334,0.3317972350230415,4,0.792,0.343472,0.343418,-0.83,2.59,2.58,0
hubertL,er,0.2,2.9167,333333233333343333323332,ER_ERR,0.360369,0.40276497695852537,0.34654377880184334,0.3317972350230415,3,0.083,0.351229,0.350913,-3.99,-2.6,-2.69,0
hubertL,er,0.3,2.7917,332333233333323333333232,ER_ERR,0.347465,0.40276497695852537,0.34654377880184334,0.3317972350230415,3,0.208,0.358257,0.35757,-0.27,3.01,2.83,0
hubertL,er,0.5,2.5833,332233233323322233323232,ER_ERR,0.357604,0.40276497695852537,0.34654377880184334,0.3317972350230415,3,0.417,0.369969,0.368947,-3.19,3.34,3.07,0
hubertL,er,1.0,2.375,232222223323322232323322,ER_ERR,0.365899,0.40276497695852537,0.34654377880184334,0.3317972350230415,3,0.625,0.381682,0.380686,-5.59,4.14,3.88,0
hubertL,er,5.0,2.0833,232222222222222222322222,ER_ERR,0.39447,0.40276497695852537,0.34654377880184334,0.3317972350230415,3,0.917,0.39808,0.39775,-13.83,0.91,0.82,0
w2v2,er,0.001,3.9167,444444444443,ER_ERR,0.457143,0.6405529953917051,0.46543778801843316,0.45622119815668205,4,0.083,0.456989,0.456982,-0.2,-0.03,-0.04,0
w2v2,er,0.01,3.8333,444444444433,ER_ERR,0.458065,0.6405529953917051,0.46543778801843316,0.45622119815668205,4,0.167,0.457757,0.457745,-0.4,-0.07,-0.07,0
w2v2,er,0.02,3.75,443444444433,ER_ERR,0.456221,0.6405529953917051,0.46543778801843316,0.45622119815668205,4,0.25,0.458525,0.458508,0.0,0.5,0.5,0
w2v2,er,0.05,3.5833,444444343333,ER_ERR,0.452535,0.6405529953917051,0.46543778801843316,0.45622119815668205,4,0.417,0.460061,0.460039,0.81,1.64,1.63,0
w2v2,er,0.1,3.5,444444333333,ER_ERR,0.460829,0.6405529953917051,0.46543778801843316,0.45622119815668205,4,0.5,0.460829,0.460806,-1.01,0.0,-0.01,0
w2v2,er,0.2,3.0,334443323322,ER_ERR,0.467281,0.6405529953917051,0.46543778801843316,0.45622119815668205,3,0.0,0.465438,0.465438,-0.4,-0.4,-0.4,0
w2v2,er,0.3,2.9167,333433333322,ER_ERR,0.466359,0.6405529953917051,0.46543778801843316,0.45622119815668205,3,0.083,0.480031,0.477991,-0.2,2.85,2.43,0
w2v2,er,0.5,2.75,333333332322,ER_ERR,0.481106,0.6405529953917051,0.46543778801843316,0.45622119815668205,3,0.25,0.509217,0.504121,-3.37,5.52,4.57,0
w2v2,er,1.0,2.4167,332333222222,ER_ERR,0.502304,0.6405529953917051,0.46543778801843316,0.45622119815668205,3,0.583,0.567588,0.560746,-7.92,11.5,10.42,0
w2v2,er,5.0,2.0833,222322222222,ER_ERR,0.62212,0.6405529953917051,0.46543778801843316,0.45622119815668205,3,0.917,0.62596,0.623731,-33.66,0.61,0.26,0
