backbone,task,lam,avg_bit,seq,metric,value,uni2,uni3,uni4,ceil_bits,bit_saved,interp_lin,interp_log,vs_ceil_%,vs_interp_%,vs_interp_log_%,trivial
w2v2,er,5.0,2.25,233232222222,ER_ERR,0.586447,0.6941789748045178,0.4448305821025195,0.4300608166811468,3,0.75,0.631842,0.621087,-31.84,7.18,5.58,0
wavlm,er,0.001,3.8333,444444434443,ER_ERR,0.413553,0.6463944396177237,0.41702867072111205,0.42311033883579496,4,0.167,0.422097,0.422091,2.26,2.02,2.02,0
wavlm,er,0.01,3.8333,444444434443,ER_ERR,0.413553,0.6463944396177237,0.41702867072111205,0.42311033883579496,4,0.167,0.422097,0.422091,2.26,2.02,2.02,0
wavlm,er,0.02,3.8333,444444444343,ER_ERR,0.417897,0.6463944396177237,0.41702867072111205,0.42311033883579496,4,0.167,0.422097,0.422091,1.23,0.99,0.99,0
wavlm,er,0.05,3.8333,444444434443,ER_ERR,0.413553,0.6463944396177237,0.41702867072111205,0.42311033883579496,4,0.167,0.422097,0.422091,2.26,2.02,2.02,0
wavlm,er,0.1,3.75,434444444343,ER_ERR,0.417897,0.6463944396177237,0.41702867072111205,0.42311033883579496,4,0.25,0.42159,0.421582,1.23,0.88,0.87,0
wavlm,er,0.2,3.25,433443333333,ER_ERR,0.412685,0.6463944396177237,0.41702867072111205,0.42311033883579496,4,0.75,0.418549,0.418541,2.46,1.4,1.4,0
wavlm,er,0.3,3.1667,433433333333,ER_ERR,0.410947,0.6463944396177237,0.41702867072111205,0.42311033883579496,4,0.833,0.418042,0.418036,2.87,1.7,1.7,0
wavlm,er,0.5,3.0833,433433333332,ER_ERR,0.418766,0.6463944396177237,0.41702867072111205,0.42311033883579496,4,0.917,0.417535,0.417532,1.03,-0.29,-0.3,0
wavlm,er,1.0,2.8333,233333333332,ER_ERR,0.421373,0.6463944396177237,0.41702867072111205,0.42311033883579496,3,0.167,0.455256,0.44863,-1.04,7.44,6.08,0
wavlm,er,5.0,2.1667,223222322222,ER_ERR,0.550825,0.6463944396177237,0.41702867072111205,0.42311033883579496,3,0.833,0.608167,0.600863,-32.08,9.43,8.33,0
wavlmL,er,0.001,3.8333,443444444444444434444442,ER_ERR,0.325804,0.47176368375325806,0.3318853171155517,0.32754126846220677,4,0.167,0.328265,0.328261,0.53,0.75,0.75,0
wavlmL,er,0.01,3.7917,343444444444444434444442,ER_ERR,0.322328,0.47176368375325806,0.3318853171155517,0.32754126846220677,4,0.208,0.328446,0.328442,1.59,1.86,1.86,0
wavlmL,er,0.02,3.75,443443344444444434444442,ER_ERR,0.325804,0.47176368375325806,0.3318853171155517,0.32754126846220677,4,0.25,0.328627,0.328622,0.53,0.86,0.86,0
wavlmL,er,0.05,3.4167,333343334343344334444442,ER_ERR,0.322328,0.47176368375325806,0.3318853171155517,0.32754126846220677,4,0.583,0.330075,0.330068,1.59,2.35,2.34,0
wavlmL,er,0.1,3.2083,333333333333433334344442,ER_ERR,0.327541,0.47176368375325806,0.3318853171155517,0.32754126846220677,4,0.792,0.33098,0.330976,0.0,1.04,1.04,0
wavlmL,er,0.2,2.8333,223233333333333322343342,ER_ERR,0.340573,0.47176368375325806,0.3318853171155517,0.32754126846220677,3,0.167,0.355198,0.35192,-2.62,4.12,3.22,0
wavlmL,er,0.3,2.7917,223223333233333332343342,ER_ERR,0.349262,0.47176368375325806,0.3318853171155517,0.32754126846220677,3,0.208,0.361027,0.357115,-5.24,3.26,2.2,0
wavlmL,er,0.5,2.75,223323333322333233333342,ER_ERR,0.34318,0.47176368375325806,0.3318853171155517,0.32754126846220677,3,0.25,0.366855,0.362387,-3.4,6.45,5.3,0
wavlmL,er,1.0,2.5,233232232323223223233332,ER_ERR,0.374457,0.47176368375325806,0.3318853171155517,0.32754126846220677,3,0.5,0.401825,0.395691,-12.83,6.81,5.37,0
wavlmL,er,5.0,2.1667,223222232222223222232222,ER_ERR,0.417029,0.47176368375325806,0.3318853171155517,0.32754126846220677,3,0.833,0.448451,0.444906,-25.65,7.01,6.27,0
