backbone,task,method,lo,hi,topk,n_layers,hi_layers,avg_bits_linear,W_GB,calib,scores
w2v2,er,taq-is,3,4,0.25,12,0 1 6,3.25,0.0512,"train_pool(er/fold3, 3600s, n=600)","[0.747539, 0.349236, 0.001442, -0.222785, -0.225605, 0.337636, 0.500889, 0.101136, -0.217699, -0.039782, 0.180011, -1.512018]"
w2v2,er,taq-kl,3,4,0.25,12,0 2 3,3.25,0.0512,"train_pool(er/fold3, 3600s, n=600)","[0.235729, 0.170074, 0.25916, 0.236948, 0.164364, 0.112222, 0.085488, 0.067455, 0.049658, 0.008954, 0.013215, 0.001997]"
wavlm,er,taq-is,3,4,0.25,12,3 5 6,3.25,0.05121,"train_pool(er/fold3, 3600s, n=600)","[-0.234948, -0.445937, 0.408343, 0.589121, 0.443128, 0.510775, 0.637769, 0.163459, 0.034333, 0.092609, 0.446153, -2.644806]"
wavlm,er,taq-kl,3,4,0.25,12,0 1 2,3.25,0.05121,"train_pool(er/fold3, 3600s, n=600)","[0.217104, 0.127561, 0.199027, 0.068295, 0.060234, 0.048107, 0.068386, 0.070955, 0.091458, 0.062721, 0.011538, 0.006708]"
hubert,er,taq-is,3,4,0.25,12,0 6 7,3.25,0.0512,"train_pool(er/fold3, 3600s, n=600)","[0.79298, 0.158949, 0.009477, -0.197645, -0.318491, 0.141874, 0.623808, 0.502962, 0.49646, 0.315158, 0.349855, -2.875387]"
hubert,er,taq-kl,3,4,0.25,12,0 1 4,3.25,0.0512,"train_pool(er/fold3, 3600s, n=600)","[0.077427, 0.066536, 0.040689, 0.056338, 0.082773, 0.039622, 0.034387, 0.044612, 0.017067, 0.024751, 0.00447, 0.00249]"
wavlmL,er,taq-is,3,4,0.25,24,9 10 11 17 19 23,3.25,0.1446,"train_pool(er/fold3, 3600s, n=600)","[-1.207004, -0.925143, -0.260849, -0.108369, -0.224028, -0.057183, 0.148671, 0.229713, 0.289031, 0.327879, 0.373757, 0.353978, 0.2108, 0.023183, 0.095017, 0.092747, 0.222561, 0.382746, 0.239724, 0.581916, 0.187082, -0.369099, -1.611948, 1.004819]"
wavlmL,er,taq-kl,3,4,0.25,24,13 14 15 16 17 18,3.25,0.1446,"train_pool(er/fold3, 3600s, n=600)","[1.196614, 0.790667, 0.549121, 0.361333, 0.24286, 0.250944, 0.644892, 0.699353, 0.701922, 1.000209, 0.994763, 0.978858, 2.490926, 4.394921, 2.669035, 2.588389, 3.4829, 2.613045, 2.511109, 1.507694, 0.797816, 0.127941, 0.007082, 0.0]"
hubertL,er,taq-is,3,4,0.25,24,8 9 10 11 14 23,3.25,0.1446,"train_pool(er/fold3, 3600s, n=600)","[-0.700448, -0.683877, -0.358852, -0.235539, -0.215536, -0.175279, 0.126642, 0.257636, 0.301813, 0.442721, 0.644246, 0.683405, -0.535814, -0.108751, 0.312298, 0.143663, 0.206498, 0.123597, 0.094611, 0.11118, -0.07125, -0.249494, -1.225206, 1.111736]"
hubertL,er,taq-kl,3,4,0.25,24,12 13 14 15 16 18,3.25,0.1446,"train_pool(er/fold3, 3600s, n=600)","[4.211205, 2.480373, 2.675615, 2.162323, 2.38351, 3.436405, 6.503632, 10.336021, 11.0438, 6.836281, 3.888328, 3.258801, 23.753357, 21.868791, 22.583216, 21.632999, 20.621787, 20.008467, 22.510116, 18.084849, 11.167203, 2.595169, 0.108187, 0.0]"
