backbone,task,method,lo,hi,topk,n_layers,hi_layers,avg_bits_linear,W_GB,calib,scores
w2v2,er,taq-is,3,4,0.25,12,0 1 6,3.25,0.0512,"train_pool(er/fold5, 3600s, n=600)","[0.675931, 0.399512, -0.115377, -0.121461, -0.069055, 0.238022, 0.495447, 0.137933, -0.164558, -0.274141, 0.050093, -1.252346]"
w2v2,er,taq-kl,3,4,0.25,12,0 2 3,3.25,0.0512,"train_pool(er/fold5, 3600s, n=600)","[0.168763, 0.149321, 0.18529, 0.172044, 0.062974, 0.039697, 0.031928, 0.03019, 0.035958, 0.005404, 0.010061, 0.000838]"
wavlm,er,taq-is,3,4,0.25,12,3 4 6,3.25,0.05121,"train_pool(er/fold5, 3600s, n=600)","[-0.294989, -0.322396, 0.128308, 0.811575, 0.626353, 0.500048, 0.578228, 0.246466, 0.315119, -0.534982, 0.372869, -2.426599]"
wavlm,er,taq-kl,3,4,0.25,12,0 1 2,3.25,0.05121,"train_pool(er/fold5, 3600s, n=600)","[0.118077, 0.070094, 0.114721, 0.042045, 0.041853, 0.038076, 0.042698, 0.051594, 0.054582, 0.042102, 0.005982, 0.00452]"
hubert,er,taq-is,3,4,0.25,12,0 7 8,3.25,0.0512,"train_pool(er/fold5, 3600s, n=600)","[0.816742, 0.235874, -0.232886, -0.081028, 0.040465, -0.057379, 0.567843, 0.5703, 0.782682, -0.061309, 0.270202, -2.851508]"
hubert,er,taq-kl,3,4,0.25,12,0 2 4,3.25,0.0512,"train_pool(er/fold5, 3600s, n=600)","[0.07788, 0.051653, 0.06628, 0.064949, 0.110374, 0.049482, 0.044759, 0.043286, 0.025483, 0.049467, 0.006437, 0.003661]"
wavlmL,er,taq-is,3,4,0.25,24,10 11 17 19 20 23,3.25,0.1446,"train_pool(er/fold5, 3600s, n=600)","[-1.197289, -0.838337, -0.334832, -0.069725, -0.113849, -0.009936, 0.118523, 0.143575, 0.295589, 0.122792, 0.354569, 0.336427, 0.25682, 0.013615, 0.11611, -0.044865, 0.295479, 0.422119, 0.138106, 0.583566, 0.474408, -0.471612, -1.48423, 0.892977]"
wavlmL,er,taq-kl,3,4,0.25,24,13 14 15 16 17 18,3.25,0.1446,"train_pool(er/fold5, 3600s, n=600)","[1.101017, 0.763998, 0.402444, 0.294764, 0.259448, 0.203284, 0.329806, 0.413699, 0.433176, 0.424296, 0.450204, 0.7018, 1.436166, 3.440207, 2.587715, 3.694847, 4.442456, 4.328911, 3.245722, 1.182135, 0.751106, 0.057612, 0.005991, 0.0]"
hubertL,er,taq-is,3,4,0.25,24,10 11 12 19 20 23,3.25,0.1446,"train_pool(er/fold5, 3600s, n=600)","[-0.686362, -0.562728, -0.445417, -0.137701, -0.077521, -0.140878, 0.09041, 0.145373, 0.274791, 0.251284, 0.505138, 0.577968, 0.510549, -0.752297, -0.095838, 0.296076, 0.023348, -0.040523, 0.121092, 0.400487, 0.568667, -0.496533, -1.287232, 0.957847]"
hubertL,er,taq-kl,3,4,0.25,24,12 13 14 15 16 17,3.25,0.1446,"train_pool(er/fold5, 3600s, n=600)","[3.064464, 2.485264, 2.45862, 2.123203, 1.854859, 1.842845, 2.047978, 2.018258, 2.10957, 2.859931, 3.570126, 4.327685, 24.101712, 21.036146, 22.373385, 20.756669, 20.004452, 14.963895, 13.519571, 10.044683, 5.70726, 1.47592, 0.056317, 0.0]"
