backbone,task,lam,avg_bit,seq,metric,value,uni2,uni3,uni4,ceil_bits,bit_saved,interp_lin,interp_log,vs_ceil_%,vs_interp_%,vs_interp_log_%,trivial
hubert,er,0.001,3.6667,444444444332,ER_ERR,0.357905,0.7953443258971872,0.3802133850630456,0.35402521823472355,4,0.333,0.362755,0.362548,-1.1,1.34,1.28,0
hubert,er,0.01,3.6667,444444444332,ER_ERR,0.357905,0.7953443258971872,0.3802133850630456,0.35402521823472355,4,0.333,0.362755,0.362548,-1.1,1.34,1.28,0
hubert,er,0.02,3.6667,444444444332,ER_ERR,0.357905,0.7953443258971872,0.3802133850630456,0.35402521823472355,4,0.333,0.362755,0.362548,-1.1,1.34,1.28,0
hubert,er,0.05,3.4167,434444343332,ER_ERR,0.379243,0.7953443258971872,0.3802133850630456,0.35402521823472355,4,0.583,0.369302,0.369074,-7.12,-2.69,-2.76,0
hubert,er,0.1,3.25,334434343332,ER_ERR,0.363725,0.7953443258971872,0.3802133850630456,0.35402521823472355,4,0.75,0.373666,0.37349,-2.74,2.66,2.61,0
hubert,er,0.2,3.0833,433334333332,ER_ERR,0.376334,0.7953443258971872,0.3802133850630456,0.35402521823472355,4,0.917,0.378031,0.377959,-6.3,0.45,0.43,0
hubert,er,0.3,3.0,333334333332,ER_ERR,0.369544,0.7953443258971872,0.3802133850630456,0.35402521823472355,3,0.0,0.380213,0.380213,2.81,2.81,2.81,0
hubert,er,0.5,2.9167,333333333332,ER_ERR,0.375364,0.7953443258971872,0.3802133850630456,0.35402521823472355,3,0.083,0.414808,0.404332,1.28,9.51,7.16,0
hubert,er,1.0,2.6667,433332322322,ER_ERR,0.42483,0.7953443258971872,0.3802133850630456,0.35402521823472355,3,0.333,0.51859,0.486262,-11.73,18.08,12.63,0
hubert,er,5.0,2.0833,222232222222,ER_ERR,0.694471,0.7953443258971872,0.3802133850630456,0.35402521823472355,3,0.917,0.76075,0.747902,-82.65,8.71,7.14,0
hubertL,er,0.001,3.7917,444344434344344443444444,ER_ERR,0.354025,0.6285160038797284,0.37827352085354027,0.37245392822502427,4,0.208,0.373666,0.373659,4.95,5.26,5.25,0
hubertL,er,0.01,3.7917,444344434344444443444443,ER_ERR,0.352085,0.6285160038797284,0.37827352085354027,0.37245392822502427,4,0.208,0.373666,0.373659,5.47,5.78,5.77,0
hubertL,er,0.02,3.75,344344434344444443444443,ER_ERR,0.344326,0.6285160038797284,0.37827352085354027,0.37245392822502427,4,0.25,0.373909,0.3739,7.55,7.91,7.91,0
hubertL,er,0.05,3.6667,444343434344344443444442,ER_ERR,0.350145,0.6285160038797284,0.37827352085354027,0.37245392822502427,4,0.333,0.374394,0.374384,5.99,6.48,6.47,0
