kind,task,budget,seq,avg,lo,hi,n_layers,calib,changed
taq-is-p34,er,3.3333,333333333344333444434334,3.3333,3,4,24,"fold2, 3600s, n=600)",
taq-is-p34,er,3.6667,333444444444333444444334,3.6667,3,4,24,"fold2, 3600s, n=600)",
taq-kl-p34,er,3.3333,333333333333444444443333,3.3333,3,4,24,"fold2, 3600s, n=600)",
taq-kl-p34,er,3.6667,333334444443444444444433,3.6667,3,4,24,"fold2, 3600s, n=600)",
