backbone,task,lam,avg_bit,seq,metric,value,uni2,uni3,uni4,ceil_bits,bit_saved,interp_lin,interp_log,vs_ceil_%,vs_interp_%,vs_interp_log_%,trivial
hubert,er,0.001,3.6667,344444444333,ER_ERR,0.391007,0.6422287390029325,0.41642228739002934,0.41544477028348,4,0.333,0.415771,0.41577,5.88,5.96,5.96,0
hubert,er,0.01,3.6667,444444443333,ER_ERR,0.408602,0.6422287390029325,0.41642228739002934,0.41544477028348,4,0.333,0.415771,0.41577,1.65,1.72,1.72,0
hubert,er,0.02,3.6667,444444443333,ER_ERR,0.408602,0.6422287390029325,0.41642228739002934,0.41544477028348,4,0.333,0.415771,0.41577,1.65,1.72,1.72,0
hubert,er,0.05,3.6667,444444443333,ER_ERR,0.408602,0.6422287390029325,0.41642228739002934,0.41544477028348,4,0.333,0.415771,0.41577,1.65,1.72,1.72,0
hubert,er,0.1,3.5,434444343333,ER_ERR,0.422287,0.6422287390029325,0.41642228739002934,0.41544477028348,4,0.5,0.415934,0.415933,-1.65,-1.53,-1.53,0
hubert,er,0.2,3.25,334343343333,ER_ERR,0.426197,0.6422287390029325,0.41642228739002934,0.41544477028348,4,0.75,0.416178,0.416178,-2.59,-2.41,-2.41,0
hubert,er,0.3,2.8333,333343332232,ER_ERR,0.486804,0.6422287390029325,0.41642228739002934,0.41544477028348,3,0.167,0.454057,0.447603,-16.9,-7.21,-8.76,0
hubert,er,0.5,2.8333,333443332222,ER_ERR,0.420332,0.6422287390029325,0.41642228739002934,0.41544477028348,3,0.167,0.454057,0.447603,-0.94,7.43,6.09,0
hubert,er,1.0,2.5,333232332222,ER_ERR,0.517107,0.6422287390029325,0.41642228739002934,0.41544477028348,3,0.5,0.529326,0.517144,-24.18,2.31,0.01,0
hubert,er,5.0,2.0833,222232222222,ER_ERR,0.671554,0.6422287390029325,0.41642228739002934,0.41544477028348,3,0.917,0.623412,0.619455,-61.27,-7.72,-8.41,0
hubertL,er,0.001,3.9583,444443444444444444444444,ER_ERR,0.374389,0.7204301075268817,0.375366568914956,0.3655913978494624,4,0.042,0.365999,0.365994,-2.41,-2.29,-2.29,0
hubertL,er,0.01,3.875,444443444444444444444442,ER_ERR,0.375367,0.7204301075268817,0.375366568914956,0.3655913978494624,4,0.125,0.366813,0.366799,-2.67,-2.33,-2.34,0
hubertL,er,0.02,3.875,444443444444444444444442,ER_ERR,0.375367,0.7204301075268817,0.375366568914956,0.3655913978494624,4,0.125,0.366813,0.366799,-2.67,-2.33,-2.34,0
hubertL,er,0.05,3.875,444443444444444444444442,ER_ERR,0.375367,0.7204301075268817,0.375366568914956,0.3655913978494624,4,0.125,0.366813,0.366799,-2.67,-2.33,-2.34,0
hubertL,er,0.1,3.75,444444444442444443443442,ER_ERR,0.374389,0.7204301075268817,0.375366568914956,0.3655913978494624,4,0.25,0.368035,0.368011,-2.41,-1.73,-1.73,0
hubertL,er,0.2,3.7083,444443444442444443443442,ER_ERR,0.382209,0.7204301075268817,0.375366568914956,0.3655913978494624,4,0.292,0.368442,0.368416,-4.55,-3.74,-3.74,0
hubertL,er,0.3,3.625,434433444442444443443442,ER_ERR,0.370479,0.7204301075268817,0.375366568914956,0.3655913978494624,4,0.375,0.369257,0.369227,-1.34,-0.33,-0.34,0
hubertL,er,0.5,3.4583,444433333442444443333442,ER_ERR,0.355816,0.7204301075268817,0.375366568914956,0.3655913978494624,4,0.542,0.370886,0.370854,2.67,4.06,4.05,0
hubertL,er,1.0,3.0,343332233332333433333442,ER_ERR,0.385142,0.7204301075268817,0.375366568914956,0.3655913978494624,3,0.0,0.375367,0.375367,-2.6,-2.6,-2.6,0
hubertL,er,5.0,2.4167,323222232323333222222332,ER_ERR,0.496579,0.7204301075268817,0.375366568914956,0.3655913978494624,3,0.583,0.576654,0.549058,-32.29,13.89,9.56,0
w2v2,er,0.001,3.9167,444444443444,ER_ERR,0.419355,0.6627565982404692,0.4809384164222874,0.4222873900293255,4,0.083,0.427175,0.426889,0.69,1.83,1.76,0
w2v2,er,0.01,3.75,444444433344,ER_ERR,0.43304,0.6627565982404692,0.4809384164222874,0.4222873900293255,4,0.25,0.43695,0.436243,-2.55,0.89,0.73,0
w2v2,er,0.02,3.75,444444433344,ER_ERR,0.43304,0.6627565982404692,0.4809384164222874,0.4222873900293255,4,0.25,0.43695,0.436243,-2.55,0.89,0.73,0
w2v2,er,0.05,3.6667,444444333344,ER_ERR,0.43695,0.6627565982404692,0.4809384164222874,0.4222873900293255,4,0.333,0.441838,0.440997,-3.47,1.11,0.92,0
w2v2,er,0.1,3.6667,444444333344,ER_ERR,0.43695,0.6627565982404692,0.4809384164222874,0.4222873900293255,4,0.333,0.441838,0.440997,-3.47,1.11,0.92,0
w2v2,er,0.2,3.1667,443334333332,ER_ERR,0.469208,0.6627565982404692,0.4809384164222874,0.4222873900293255,4,0.833,0.471163,0.470626,-11.11,0.41,0.3,0
